topic_id,term,weight,num_publications_in_topic
5,hyperactivity,0.028376393,31
5,autism,0.022994276,31
5,dmri,0.018669331,31
5,fiber,0.014632952,31
5,microstructure,0.013236124,31
5,tissue,0.013121346,31
5,medication,0.011702373,31
5,dti,0.009153338,31
5,tensor,0.008970441,31
5,stimulant,0.0076569067,31
5,anisotropy,0.006845925,31
5,diffusivity,0.006657169,31
5,microstructural,0.0065206722,31
5,harmonization,0.0063096285,31
5,fasciculus,0.0061441152,31
5,fractional,0.005791697,31
5,orientation,0.005754938,31
5,inattention,0.005437886,31
5,spectrum,0.0053001656,31
5,isotropic,0.0050582504,31
5,rsi,0.004864635,31
5,diagnostic,0.0047345813,31
5,gray,0.0047209295,31
5,signal,0.0046975813,31
5,fraction,0.0046388265,31
5,asd,0.0045215716,31
5,restrict,0.004502569,31
6,fmri,0.014779516,152
6,motion,0.012556217,152
6,signal,0.010532352,152
6,propose,0.00596542,152
6,head,0.004509309,152
6,growth,0.004322307,152
6,replication,0.003400199,152
6,external,0.0033399204,152
6,dimension,0.003030666,152
6,normative,0.0028910488,152
6,medical,0.0027949307,152
6,extract,0.0027228647,152
6,residual,0.002633118,152
6,lifespan,0.002544245,152
6,generalizability,0.0025239002,152
6,exhibit,0.0025149565,152
6,absolute,0.002473727,152
6,rank,0.0024721131,152
6,assume,0.0024538683,152
6,confound,0.0024319312,152
6,anatomical,0.0024138219,152
6,choose,0.0023867872,152
6,produce,0.0023649305,152
6,computational,0.0023189322,152
6,denote,0.0023108474,152
6,tool,0.0023069307,152
6,label,0.002262571,152
6,univariate,0.0022579355,152
6,simulation,0.0022384329,152
6,complexity,0.00223087,152
7,thickness,0.017044982,174
7,subcortical,0.01697742,174
7,surface,0.014567405,174
7,frontal,0.014125733,174
7,gyrus,0.011749318,174
7,left,0.009314272,174
7,dmn,0.009099368,174
7,default,0.009092962,174
7,rsfc,0.008748729,174
7,parietal,0.008719526,174
7,gray,0.008212392,174
7,superior,0.0072533744,174
7,prefrontal,0.0067016743,174
7,cingulate,0.0066021928,174
7,anterior,0.0064731496,174
7,motor,0.006351845,174
7,hippocampal,0.0059744,174
7,visual,0.0059173265,174
7,inferior,0.0058069983,174
7,amygdala,0.0056109987,174
7,alteration,0.005530237,174
7,salience,0.005046694,174
7,ventral,0.0048754336,174
7,posterior,0.0048493887,174
7,fmri,0.0047893585,174
7,dorsal,0.004326155,174
7,hemisphere,0.0041155787,174
7,magnetic,0.004111133,174
7,circuit,0.0040008016,174
7,cerebral,0.0039202725,174
8,discrimination,0.052560166,76
8,racial,0.050722837,76
8,ethnic,0.048853185,76
8,covid,0.043775324,76
8,pandemic,0.030262655,76
8,sexual,0.029735884,76
8,identity,0.028077042,76
8,minority,0.02679951,76
8,racism,0.016629528,76
8,latinx,0.015549367,76
8,orientation,0.014396142,76
8,american,0.013867068,76
8,cultural,0.01343225,76
8,disparity,0.013225785,76
8,perceive,0.010451492,76
8,diversity,0.0081246225,76
8,stressor,0.00776464,76
8,stigma,0.0071009328,76
8,feel,0.0070318338,76
8,student,0.006917729,76
8,policy,0.0062202327,76
8,native,0.006178809,76
8,multiracial,0.0061220517,76
8,acculturation,0.00610344,76
8,sociodemographic,0.0060931435,76
8,teacher,0.0050767167,76
8,immigrant,0.0050075473,76
8,protective,0.004580365,76
8,latino,0.0045614485,76
8,worry,0.004526161,76
9,sport,0.10727392,15
9,depressive,0.08327534,15
9,injury,0.069838226,15
9,concussion,0.051851284,15
9,traumatic,0.040127695,15
9,head,0.029164983,15
9,tbi,0.02574084,15
9,mild,0.02074475,15
9,exercise,0.020533923,15
9,lifetime,0.018383335,15
9,density,0.017258553,15
9,involvement,0.012823467,15
9,bag,0.011084763,15
9,psychosocial,0.0084509775,15
9,sustain,0.007929088,15
9,neck,0.007562875,15
9,severe,0.0069267773,15
9,traffic,0.006884445,15
9,athlete,0.006383892,15
9,consciousness,0.005574479,15
9,recovery,0.0053179376,15
9,fitness,0.0047178115,15
9,emergency,0.0044802893,15
9,aerobic,0.0044207484,15
9,benefit,0.004214995,15
9,chronic,0.0041935197,15
9,acute,0.0041840365,15
9,checklist,0.004073992,15
9,engage,0.003987367,15
9,extreme,0.003957298,15
10,gene,0.032356,110
10,prs,0.022780634,110
10,twin,0.019215379,110
10,trait,0.018215353,110
10,genome,0.01814832,110
10,polygenic,0.015392744,110
10,variant,0.014026314,110
10,heritability,0.0133598745,110
10,ancestry,0.010735602,110
10,gwa,0.010255236,110
10,pgs,0.009996154,110
10,snps,0.009310513,110
10,cell,0.009257814,110
10,expression,0.008196274,110
10,genotype,0.008012579,110
10,loci,0.0080092065,110
10,causal,0.006827313,110
10,european,0.0060740546,110
10,genomic,0.0055005825,110
10,phenotypic,0.005182407,110
10,overlap,0.0051720403,110
10,principal,0.004969806,110
10,pathway,0.0048495876,110
10,prss,0.0044799196,110
10,alzheimer,0.0043165036,110
10,schizophrenia,0.0042800684,110
10,gwas,0.0039551477,110
10,thickness,0.0039491584,110
10,surface,0.0038626404,110
10,shape,0.0038571476,110
11,reward,0.09622406,35
11,activation,0.056984976,35
11,trial,0.03865836,35
11,stop,0.030072637,35
11,inhibitory,0.023847258,35
11,inhibition,0.020296087,35
11,fmri,0.01911632,35
11,anticipation,0.018439673,35
11,irritability,0.018135617,35
11,delay,0.017523779,35
11,signal,0.017170256,35
11,sst,0.01673693,35
11,striatum,0.013501428,35
11,ssrt,0.0116128735,35
11,stimulus,0.011014403,35
11,striatal,0.0095640095,35
11,monetary,0.009538433,35
11,incentive,0.009136276,35
11,caudate,0.007098212,35
11,reaction,0.0070944363,35
11,ventral,0.0070384042,35
11,feedback,0.0065779197,35
11,motivation,0.0065015596,35
11,receipt,0.006112716,35
11,accumben,0.0058172042,35
11,drift,0.005625668,35
11,roi,0.0055666305,35
11,cue,0.00529343,35
11,prefrontal,0.0048565962,35
11,dlpfc,0.0047651306,35
12,neighborhood,0.034223925,117
12,adversity,0.021200655,117
12,caregiver,0.018447498,117
12,deprivation,0.017160458,117
12,peer,0.016216828,117
12,victimization,0.013604977,117
12,poverty,0.012515625,117
12,adverse,0.008900818,117
12,disadvantage,0.00792662,117
12,academic,0.0075374693,117
12,violence,0.0069876947,117
12,bully,0.0066366256,117
12,perceive,0.006396683,117
12,protective,0.0063743354,117
12,economic,0.0061784014,117
12,safety,0.005940849,117
12,mediation,0.0058635864,117
12,threat,0.005677043,117
12,educational,0.005670828,117
12,live,0.005639714,117
12,warmth,0.005549152,117
12,mediate,0.0052916138,117
12,parenting,0.0050263423,117
12,adi,0.0049998057,117
12,transgender,0.0049644564,117
12,abuse,0.004931543,117
12,event,0.0048056324,117
12,home,0.0044835676,117
12,crime,0.0043664346,117
12,stressor,0.004181493,117
13,pubertal,0.11605037,21
13,girl,0.052334815,21
13,puberty,0.045668803,21
13,boy,0.044310633,21
13,timing,0.037924547,21
13,stage,0.034536198,21
13,maturation,0.020158099,21
13,hormone,0.015145621,21
13,pds,0.013576347,21
13,brainage,0.01057776,21
13,indirect,0.0072450186,21
13,mediation,0.006440238,21
13,gap,0.0060127648,21
13,reproductive,0.0057757925,21
13,growth,0.0057161073,21
13,salivary,0.0055998615,21
13,tempo,0.005386355,21
13,testosterone,0.0050888364,21
13,herting,0.0046817805,21
13,menstrual,0.0046364707,21
13,dahl,0.004591315,21
13,aging,0.0045036557,21
13,hair,0.0044668242,21
13,advance,0.004435467,21
13,hormonal,0.004335043,21
13,chronological,0.004241708,21
13,heritage,0.0042265397,21
13,mediate,0.004110286,21
13,petersen,0.0039292285,21
13,mill,0.0037458895,21
14,sleep,0.16119987,114
14,screen,0.06374129,114
14,duration,0.032875966,114
14,ple,0.032684185,114
14,medium,0.03182957,114
14,disturbance,0.019157516,114
14,video,0.018969664,114
14,psychotic,0.018249448,114
14,psychosis,0.015210443,114
14,game,0.012941974,114
14,sma,0.011225786,114
14,chronotype,0.009900358,114
14,spend,0.0083617885,114
14,fitbit,0.0068749175,114
14,distress,0.0068424228,114
14,academic,0.0064783213,114
14,digital,0.0064126505,114
14,usage,0.00586352,114
14,problematic,0.0057567833,114
14,insomnia,0.0053254925,114
14,weekday,0.0053131008,114
14,short,0.005276071,114
14,objective,0.0051719896,114
14,wake,0.0047640926,114
14,phone,0.0047489223,114
14,distressing,0.0046083587,114
14,app,0.004560762,114
14,smartphone,0.0044460124,114
14,bedtime,0.0044398988,114
14,addiction,0.0044164765,114
15,profile,0.048867706,35
15,trait,0.03769369,35
15,emotion,0.03688326,35
15,latent,0.036202323,35
15,face,0.02337104,35
15,class,0.021294452,35
15,prosocial,0.020909913,35
15,regulation,0.019046972,35
15,externalize,0.012997254,35
15,stimulus,0.012510452,35
15,aggression,0.011259482,35
15,executive,0.009492332,35
15,threat,0.0094323745,35
15,difficulty,0.009234234,35
15,callous,0.008207366,35
15,unemotional,0.0072530517,35
15,neurocognitive,0.006993277,35
15,amygdala,0.0067747277,35
15,personality,0.0067515047,35
15,load,0.0065940903,35
15,dysregulation,0.006466283,35
15,place,0.006400693,35
15,recognition,0.006144632,35
15,cfi,0.0061096796,35
15,functioning,0.0059688254,35
15,reactivity,0.00547365,35
15,antisocial,0.005195692,35
15,person,0.0048151393,35
15,transition,0.0041329507,35
15,lpa,0.0041098543,35
